id	nev	ar	tomeg	szarmazas	ajanlat
1	Aglio-olio	290	20	Magyarország	Olasz, tésztás ételekhez.
2	Almás pite	290	20	Magyarország	Almás sütemények töltelékének ízesítéséhez.
3	Argentin	290	20	Magyarország	Sült húsokhoz.
4	Baharat	290	20	Magyarország	
5	Bami goreng	290	20	Magyarország	Indonéz jellegű ételekhez.
6	Bárány	290	20	Magyarország	Sült húsokhoz, ragukhoz, elsősorban bárányhoz.
7	Barbecue	290	20	Magyarország	Grillhúsok pácolásához, sült húsok ízesítéséhez.
8	Biriyani masala	290	20	Magyarország	Indiai ételekhez.
9	Bolognai	290	20	Magyarország	Paradicsomos szószokhoz.
10	Borneói vaníliás bors	900	10	Németország	Halakhoz, mártásokhoz.
11	Cajun	320	20	Magyarország	Sült húsokhoz, grillezéshez.
12	Chili con carne	290	20	Magyarország	Chilis bab készítéséhez.
13	Citromos bors	290	20	Magyarország	Halakhoz, mártásokhoz.
14	Creol	290	20	Magyarország	Sült húsok ízesítésére.
15	Curry	260	20	Magyarország	Indiai ételek ízesítéséhez.
16	Curry angol	290	20	Németország	Indiai raguk ízesítéséhez ajánlott fűszerkeverék.
17	Curry colombo	290	20	Magyarország	Indiai ételek ízesítéséhez.
18	Curry csípős	290	20	Magyarország	Csípős indiai ételek készítéséhez.
19	Curry édeskés	290	20	Magyarország	Édes jellegű indiai ételek készítéséhez.
20	Curry enyhén csípős	290	20	Magyarország	Enyhén csípős indiai ételek készítéséhez.
21	Curry madras	290	20	Magyarország	Indiai ételek készítéséhez.
22	Currys csirke	290	20	Magyarország	Indiai ételek készítéséhez.
23	Cseréptálban sültek	290	20	Magyarország	Sült húsok, zöldségek ízesítésére.
24	Csípős csirkeszárny	290	20	Magyarország	Csirkeszárnyak ízesítésére.
25	Csirkekirály	290	20	Magyarország	Szárnyas húsok ízesítésére.
26	Ételízesítő glutamát nélkül	290	50	Magyarország	Levesekhez, sült húsokhoz, ragukhoz.
27	Fajita	290	20	Magyarország	Mexikói jellegű ételek és grillezett húsok, halak fűszerezésére.
28	Fasírt	290	20	Magyarország	Fasírtok, húsgolyók, darált húsok ízesítésére.
29	Fincsibe	290	20	Magyarország	Sült szárnyas húsokhoz.
30	Flekken	290	30	Magyarország	Sült húsok ízesítésére.
31	Fokhagymás bors	290	20	Magyarország	Sült húsok ízesítésére.
32	Fokhagymás só	230	30		Sült húsok ízesítésére.
